circuitRef,name,location,country,lat,lon
albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,1
sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,41.57,2.26111
monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
nurburgring,Nurburgring,Nurburg,Germany,50.3356,6.9475
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347
magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486
istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
interlagos,Autodromo Jos̩ Carlos Pace,Ṣo Paulo,Brazil,-23.7036,-46.6997
suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22
