circuitRef,name,location,country,lat,lon
jacarepagua,Autodromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
detroit,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401
ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486
osterreichring,A1-Ring,Spielburg,Austria,47.2197,14.7647
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
estoril,Autodromo do Estoril,Estoril,Portugal,38.7506,-9.39417
jerez,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417
rodriguez,Autodromo Hermanos Rodriguez,Mexico City,Mexico,19.4042,-99.0907
suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
adelaide,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617
