circuitRef,name,location,country,lat,lon
albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,1
sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22
bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,41.57,2.26111
monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864
suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,126.417
buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331
yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031
americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411
interlagos,Autodromo Jos̩ Carlos Pace,Ṣo Paulo,Brazil,-23.7036,-46.6997
